batch,time,Rc,C,I,mI,m1,P1
batch 10,55.0,59.547251,158.298792,49.406436,6.467702,0.199082,26.197089
batch 10,60.0,14.65654,193.097707,217.952182,8.441419,0.237891,26.707789
batch 10,65.0,7.453901,223.978614,432.751613,8.209854,0.224482,27.314524
batch 10,70.0,8.561095,240.10663,374.788897,6.953608,0.180796,27.707551
batch 10,75.0,35.037129,209.416704,82.31051,6.142419,0.141415,27.833525
batch 10,80.0,26.350753,185.975173,119.690878,7.740574,0.146987,27.827462
batch 10,85.0,10.780026,214.724867,297.573817,8.216276,0.161992,27.940401
batch 10,90.0,9.507481,232.828431,337.219009,7.405786,0.14166,28.021349
batch 10,95.0,21.621172,224.546646,141.313886,6.506523,0.114895,27.948945
batch 11,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 11,5.0,26.374278,97.583737,113.841545,8.033891,0.648103,1.598776
batch 11,10.0,5.687528,173.197695,561.438603,9.614233,0.939901,6.610124
batch 11,15.0,3.234749,218.744549,1003.291901,8.986028,0.802735,11.642497
batch 11,20.0,3.062007,246.234336,1064.007423,7.273895,0.614228,15.474353
batch 11,25.0,5.827579,258.444639,553.540024,5.241313,0.458975,18.166937
batch 11,30.0,93.248672,127.784937,27.697923,5.364902,0.347612,19.981483
batch 11,35.0,16.762837,171.397091,189.660777,8.545307,0.421988,21.605997
batch 11,40.0,6.347414,213.601785,508.597338,8.732611,0.408561,23.489405
batch 11,45.0,5.442831,239.103081,595.027349,7.482406,0.326539,24.974015
batch 11,50.0,12.24534,244.062823,256.632421,5.905759,0.248393,25.926215
batch 11,55.0,54.175133,160.428341,55.318295,6.685416,0.202803,26.457172
batch 11,60.0,14.167474,195.47589,225.465783,8.398461,0.238261,26.980789
batch 11,65.0,7.825246,224.605926,411.824155,8.079062,0.221269,27.567657
batch 11,70.0,9.776275,238.478217,326.831927,6.866656,0.178031,27.934687
batch 11,75.0,38.781615,200.67495,74.703911,6.309174,0.140944,28.042618
batch 11,80.0,23.656738,189.740945,133.5279,7.810724,0.150282,28.044948
batch 11,85.0,10.958026,216.204132,292.488295,8.095314,0.16014,28.154285
batch 11,90.0,10.657126,231.726265,299.758085,7.284052,0.139063,28.213999
batch 11,95.0,25.379505,217.296535,119.312979,6.58061,0.114091,28.124651
batch 12,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 12,5.0,19.459252,111.870979,158.568276,8.811769,0.61504,1.552265
batch 12,10.0,3.970405,183.973755,810.482389,10.435179,0.832296,6.113171
batch 12,15.0,2.251617,226.884929,1447.585996,9.545052,0.693664,10.495807
batch 12,20.0,2.03971,252.89997,1603.62082,7.426447,0.526908,13.779016
batch 12,25.0,3.081965,266.839476,1058.626384,5.00575,0.39268,16.070041
batch 12,30.0,53.546513,211.907815,36.87087,3.595706,0.291687,17.601362
batch 12,35.0,25.017224,149.298771,127.926496,8.507449,0.365815,18.837285
batch 12,40.0,5.085967,205.591053,636.238663,9.769699,0.422953,20.731505
batch 12,45.0,3.138084,238.353911,1038.817239,8.598755,0.347252,22.41433
batch 12,50.0,3.575013,257.186872,911.573213,6.459028,0.263847,23.550378
batch 12,55.0,15.311559,251.928349,198.47054,4.609817,0.197187,24.207003
batch 12,60.0,43.759373,147.681442,73.01305,7.603637,0.198272,24.565479
batch 12,65.0,7.078314,205.154916,456.456931,9.436141,0.265828,25.280323
batch 12,70.0,3.984055,236.77975,816.917012,8.53448,0.230292,26.022552
batch 12,75.0,4.585426,254.539792,708.667009,6.578371,0.177818,26.457155
batch 12,80.0,26.065002,235.520382,108.728039,5.015772,0.134045,26.590423
batch 12,85.0,31.139262,167.937831,102.898917,8.003116,0.15216,26.574887
batch 12,90.0,6.870517,214.091148,470.940142,9.194512,0.194056,26.864215
batch 12,95.0,4.503197,241.151814,722.164572,8.073897,0.16649,27.15025
batch 13,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 13,5.0,20.124551,110.389688,153.00658,8.727555,0.618863,1.557826
batch 13,10.0,4.11406,182.931916,781.739045,10.347156,0.84332,6.166775
batch 13,15.0,2.331731,226.12371,1397.460688,9.485816,0.704403,10.614306
batch 13,20.0,2.119478,252.303749,1542.899351,7.409541,0.535394,13.950947
batch 13,25.0,3.2609,266.188403,999.914575,5.025084,0.399085,16.280653
batch 13,30.0,65.631376,196.049942,28.47882,3.728006,0.296565,17.838653
batch 13,35.0,23.402369,152.220911,136.573726,8.554482,0.374207,19.116458
batch 13,40.0,5.143164,206.684594,629.201914,9.664927,0.422019,21.018625
batch 13,45.0,3.27329,238.762938,995.653149,8.466614,0.345046,22.681856
batch 13,50.0,3.897863,256.895778,835.228547,6.362044,0.262043,23.797955
batch 13,55.0,21.940751,242.98856,131.570868,4.656348,0.195963,24.438225
batch 13,60.0,35.734026,155.819231,89.582409,7.871502,0.207803,24.808926
batch 13,65.0,6.838928,208.293854,472.667415,9.330466,0.262057,25.532592
batch 13,70.0,4.165824,238.284769,781.022134,8.316207,0.223546,26.232146
batch 13,75.0,5.284968,254.302549,613.406326,6.390738,0.172187,26.6234
batch 13,80.0,44.508385,210.159858,57.80035,5.180072,0.130282,26.723333
batch 13,85.0,23.549985,177.465768,136.085002,8.307231,0.16083,26.725303
batch 13,90.0,6.542097,218.515219,494.879588,9.022791,0.18794,27.013062
batch 13,95.0,4.858321,243.132161,668.786186,7.760478,0.157867,27.247013
batch 14,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 14,5.0,20.802008,108.906018,147.698672,8.644905,0.622613,1.563257
batch 14,10.0,4.263698,181.876235,753.861413,10.260647,0.854393,6.220078
batch 14,15.0,2.415444,225.348039,1348.637846,9.427571,0.71527,10.7331
batch 14,20.0,2.203404,251.691681,1483.758915,7.393289,0.544,14.123914
batch 14,25.0,3.45492,265.504345,943.115507,5.045512,0.405586,16.492912
batch 14,30.0,76.520438,180.842636,24.448829,3.879202,0.301565,18.078079
batch 14,35.0,22.052537,154.920711,144.786064,8.58932,0.381916,19.397645
batch 14,40.0,5.214352,207.710787,620.625918,9.559873,0.420965,21.305391
batch 14,45.0,3.423087,239.107496,951.794489,8.3389,0.342887,22.94897
batch 14,50.0,4.27617,256.478667,760.403875,6.273155,0.260305,24.045484
batch 14,55.0,32.36755,229.095105,82.361116,4.744892,0.19486,24.669843
batch 14,60.0,29.750907,162.86013,107.563672,8.080943,0.216142,25.056179
batch 14,65.0,6.684041,211.155761,483.799072,9.210882,0.257825,25.781143
batch 14,70.0,4.395638,239.55587,739.832316,8.10457,0.217093,26.438282
batch 14,75.0,6.228252,253.553536,518.712731,6.227251,0.166915,26.788331
batch 14,80.0,60.640657,183.638834,42.685846,5.503787,0.127477,26.857566
batch 14,85.0,18.769441,185.269631,170.77176,8.500376,0.166813,26.882591
batch 14,90.0,6.387268,222.338987,507.033311,8.824449,0.18137,27.157475
batch 14,95.0,5.368968,244.518704,604.312983,7.4655,0.149908,27.34109
batch 15,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 15,5.0,21.490924,107.420913,142.633698,8.563776,0.626292,1.56856
batch 15,10.0,4.419596,180.80632,726.828576,10.175612,0.865513,6.273073
batch 15,15.0,2.502964,224.557318,1301.088941,9.370291,0.726266,10.852188
batch 15,20.0,2.291774,251.062917,1426.168271,7.377681,0.552731,14.297937
batch 15,25.0,3.665721,264.784285,888.208983,5.067067,0.412189,16.70686
batch 15,30.0,85.297547,167.362221,22.688885,4.047469,0.306714,18.319714
batch 15,35.0,20.922204,157.425878,152.489653,8.613131,0.388988,19.680755
batch 15,40.0,5.299835,208.668305,610.604604,9.454873,0.419827,21.592009
batch 15,45.0,3.589221,239.383746,907.41723,8.215797,0.340794,23.216026
batch 15,50.0,4.723087,255.913627,687.414048,6.192761,0.258647,24.29341
batch 15,55.0,46.066487,210.368305,53.71154,4.887743,0.19395,24.902416
batch 15,60.0,25.34333,168.924916,126.185174,8.238872,0.22309,25.306837
batch 15,65.0,6.602828,213.745929,489.866647,9.080736,0.25331,26.02671
batch 15,70.0,4.681818,240.579361,694.142531,7.901666,0.210977,26.642243
batch 15,75.0,7.534048,252.114332,426.601621,6.091381,0.162026,26.953364
batch 15,80.0,65.060294,167.978573,42.405265,5.939906,0.126326,26.995389
batch 15,85.0,15.708114,191.791318,204.169016,8.603709,0.170261,27.045413
batch 15,90.0,6.379775,225.580547,507.630328,8.610047,0.174715,27.299381
batch 15,95.0,6.088289,245.232399,531.744518,7.196621,0.14267,27.435373
batch 16,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 16,5.0,22.190547,105.935358,137.801136,8.484128,0.629898,1.573739
batch 16,10.0,4.582041,179.721779,700.620371,10.092009,0.876678,6.325752
batch 16,15.0,2.594511,223.750924,1254.786698,9.313948,0.737395,10.97157
batch 16,20.0,2.384899,250.416553,1370.097788,7.362708,0.561589,14.473038
batch 16,25.0,3.895221,264.024851,835.177606,5.089788,0.418895,16.922541
batch 16,30.0,91.720141,156.03031,22.097732,4.229173,0.312042,18.563639
batch 16,35.0,19.975205,159.758039,159.624138,8.626987,0.395472,19.965726
batch 16,40.0,5.400062,209.555504,599.235137,9.350245,0.41864,21.878711
batch 16,45.0,3.773702,239.58725,862.701258,8.097496,0.338786,23.4834
batch 16,50.0,5.255642,255.172906,616.601888,6.121333,0.257085,24.542199
batch 16,55.0,59.006093,190.871167,41.320056,5.091,0.193352,25.136572
batch 16,60.0,22.092971,174.185777,144.686739,8.352037,0.22863,25.560569
batch 16,65.0,6.588289,216.067099,490.997638,8.943083,0.248666,26.270169
batch 16,70.0,5.035236,241.337021,644.838281,7.709535,0.205236,26.845363
batch 16,75.0,9.392181,249.706931,339.485328,5.987393,0.157548,27.119953
batch 16,80.0,60.435688,163.180539,48.313778,6.398026,0.127359,27.139499
batch 16,85.0,13.712042,197.319583,234.055528,8.636329,0.171633,27.21307
batch 16,90.0,6.507996,228.24802,497.46522,8.388914,0.168246,27.441003
batch 16,95.0,7.097935,245.149,454.592011,6.961223,0.136193,27.53275
batch 17,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 17,5.0,22.900074,104.450374,133.190784,8.405919,0.633433,1.578795
batch 17,10.0,4.751333,178.622214,675.217339,10.009799,0.887887,6.378109
batch 17,15.0,2.69032,222.928201,1209.705045,9.258517,0.748661,11.091245
batch 17,20.0,2.483113,249.751625,1315.519388,7.348361,0.57058,14.649238
batch 17,25.0,4.145601,263.22227,784.006838,5.113713,0.42571,17.14
batch 17,30.0,95.913128,146.886458,22.178028,4.419724,0.317582,18.809943
batch 17,35.0,19.182798,161.933937,166.141556,8.631866,0.401421,20.252529
batch 17,40.0,5.515626,210.370423,586.61787,9.246288,0.417437,22.165753
batch 17,45.0,3.97884,239.712905,817.830825,7.984195,0.336884,23.75149
batch 17,50.0,5.895976,254.2212,548.343358,6.059418,0.255637,24.792344
batch 17,55.0,67.289439,175.165136,37.478521,5.3456,0.193243,25.373033
batch 17,60.0,19.681191,178.790789,162.393994,8.426761,0.232863,25.817192
batch 17,65.0,6.636313,218.119895,487.423969,8.800727,0.244022,26.512511
batch 17,70.0,5.469898,241.805201,592.891242,7.530156,0.199904,27.049011
batch 17,75.0,12.096707,245.908,260.294512,5.920561,0.153514,27.289588
batch 17,80.0,52.061735,165.020663,58.21704,6.812245,0.13043,27.292549
batch 17,85.0,12.405608,202.02316,258.864201,8.614791,0.171465,27.385561
batch 17,90.0,6.770832,230.34057,477.820634,8.169298,0.162157,27.584751
batch 17,95.0,8.519481,244.082259,376.843244,6.766472,0.130509,27.636074
batch 18,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 18,5.0,23.618659,102.967009,128.79276,8.329112,0.636897,1.583732
batch 18,10.0,4.927781,177.507226,650.600691,9.928944,0.899138,6.430136
batch 18,15.0,2.790643,222.088466,1165.819064,9.203974,0.760065,11.211211
batch 18,20.0,2.586779,249.067104,1262.406505,7.334631,0.579707,14.82656
batch 18,25.0,4.419332,262.372316,734.685068,5.138884,0.432638,17.359285
batch 18,30.0,98.146528,139.797491,22.701862,4.614418,0.323367,19.058725
batch 18,35.0,18.52208,163.966453,172.005275,8.628666,0.406887,20.541161
batch 18,40.0,5.647261,211.110791,572.856307,9.143286,0.416253,22.453411
batch 18,45.0,4.207291,239.75488,772.994873,7.876098,0.335109,24.020715
batch 18,50.0,6.672904,253.013538,483.053299,6.007645,0.254321,25.044363
batch 18,55.0,70.262219,164.776586,37.60752,5.629715,0.193815,25.612621
batch 18,60.0,17.881444,182.848905,178.748065,8.468836,0.235954,26.076693
batch 18,65.0,6.745045,219.903105,479.473273,8.656247,0.239489,26.75482
batch 18,70.0,6.003584,241.953863,539.352399,7.365434,0.19501,27.254585
batch 18,75.0,16.042052,240.143885,192.513475,5.897163,0.149972,27.463797
batch 18,80.0,43.51539,169.783839,71.12981,7.15324,0.134786,27.456597
batch 18,85.0,11.57037,206.002431,277.66392,8.553211,0.170255,27.5635
